type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
VS;318291;Volksschule;1771537.85,6071334.33;Burggasse 11;2734;Puchberg am Schneeberg;öffentl.;4;83;47;36
VS;318321;Volksschule;1792499.06,6070613.73;Kirchenplatz 7;2731;St. Egyden am Steinfeld;öffentl.;5;82;48;34
VS;318331;Volksschule;1785280.5,6063577.16;Sankt Lorenzen, Liechtingergasse 2;2620;Ternitz;öffentl.;4;65;30;35
VS;318351;Volksschule;1795914.05,6049907.44;Schulgasse 100;2831;Scheiblingkirchen-Thernberg;öffentl.;6;96;60;36
VS;318361;Volksschule;1766552.37,6048856.7;Hauptstraße 71;2641;Schottwien;öffentl.;3;48;28;20
VS;318371;Volksschule;1748305.2,6075522.3;Markt 4;2662;Schwarzau im Gebirge;öffentl.;1;22;12;10
VS;318381;Volksschule;1800305.88,6061661.1;Pittener Straße 94;2625;Schwarzau am Steinfeld;öffentl.;6;94;40;54
VS;318391;Volksschule;1797384.54,6057302.67;Schulallee 3;2824;Seebenstein;öffentl.;4;61;27;34
BMHSK;318418;Bundeshandelsakademie und Bundeshandelsschule;1789893.31,6062271.74;Schillergasse 10;2620;Neunkirchen;öffentl.;21;565;260;305
VS;318421;Volksschule;1785657.53,6059862.98;Stapfgasse 1;2630;Ternitz;öffentl.;8;134;70;64
BMHST;318427;Dislozierte Klassen der Werkmeisterschule für Berufstätige des WIFI der Wirtschaftskammer Niederösterreich St.Pölten (302517);1789252.42,6060134.8;Triester Straße 63;2620;Neunkirchen;privat;2;40;38;2
VS;318431;Volksschule;1786373.97,6058846.22;Triester Straße 20;2630;Ternitz;öffentl.;4;79;33;46
VS;318441;Volksschule;1800748.79,6050826.62;Thernberg-Markt 5;2832;Scheiblingkirchen-Thernberg;öffentl.;2;35;17;18
BMHST;318449;Höhere Bundeslehranstalt für Tourismus;1761652.03,6046744.77;Hochstraße 37;2680;Semmering;öffentl.;20;385;134;251
VS;318451;Volksschule;1769145.82,6041016.63;Trattenbach 76;2881;Trattenbach;öffentl.;1;20;8;12
VS;318461;Volksschule;1792282.25,6035637.22;Neugasse 2;2870;Aspang-Markt;öffentl.;4;87;40;47
VS;318471;Volksschule;1789657.52,6055805.29;Hafninger Straße 16;2620;Wartmannstetten;öffentl.;4;76;48;28
VS;318481;Volksschule;1784147.6,6057155.05;Bundesstraße 36;2632;Wimpassing im Schwarzatale;öffentl.;4;70;38;32
VS;318491;Volksschule;1777171.12,6052762.77;Wörth, Schulstraße 18;2640;Enzenreith;öffentl.;6;91;46;45
VS;318501;Volksschule;1787183.2,6069473.99;Neunkirchner Straße 76;2732;Würflach;öffentl.;4;68;26;42
VS;318511;Volksschule;1795542.06,6026398.23;Schulstraße 1;2871;Zöbern;öffentl.;4;60;21;39
VS;318521;Volksschule;1763063.29,6056457.13;Schulgasse 23;2651;Reichenau an der Rax;öffentl.;4;76;40;36
VS;318531;Volksschule;1783295.82,6058501.44;Kreuzäckergasse 9;2630;Ternitz;öffentl.;8;150;87;63
ASTAT;318551;Privatschule Christliche Schule Neunkirchen des Vereins Verein für Bildungsschritte;1788973.72,6060631.03;Am Erholungszentrum 6;2620;Neunkirchen;privat;1;11;5;6
VS;318571;Private Volksschule Stella Seebenstein des Vereins Verein zum Betrieb von katholischen Privatschulen und Kindergärten - Stella International School;1797249.94,6056831.47;Schlossweg 5;2824;Seebenstein;privat;2;33;15;18
LFMS;318720;Landwirtschaftliche Fachschule und Niederösterreichische Landesimkerschule;1794501.63,6049062.41;Aichhof 1;2831;Warth;öffentl.;10;234;116;118
GKS;318910;Schule für allgemeine Gesundheits- und Krankenpflege am Allgemeinen öffentlichen Krankenhaus Neunkirchen;1790420.71,6061580;Wiener Straße 70;2620;Neunkirchen;öffentl.;0;300;67;233
VS;319011;Volksschule;1773323.94,6132161.22;Schulgasse 12;3033;Altlengbach;öffentl.;8;139;68;71
NMSH;319012;Mittelschule;1754496.58,6139578.03;Hochfeldstraße 5;3071;Böheimkirchen;öffentl.;15;332;189;143
